ingredient_name,rank,time_stamp,product_title,origial_price,price,unit,measure,unit_price,gram_price,discount_rate,badage_rocket,review_count,url,image
* 감자전분(물전분),1,2024-07-29 16:14:52,"곰곰 감자전분, 1kg, 1개",5400,4390,100,g,439,4.39,18%,로켓배송,2076,https://www.coupang.com/vp/products/7522733692?itemId=19733882650&vendorItemId=86837741791&pickType=COU_PICK,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1852597268171107-c6ccc49f-9e60-40bc-8555-646c8c49e8b2.jpg
* 감자전분(물전분),2,2024-07-29 16:14:52,"청은 감자전분, 1kg, 2개",13500,12900,100,g,645,6.45,4%,로켓배송,8687,https://www.coupang.com/vp/products/46179701?itemId=18037772141&vendorItemId=85192157710,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/649fe925-bfa9-480f-b80a-fa5eadad62d26988911562880116870.png
* 감자전분(물전분),3,2024-07-29 16:14:52,"농부의뜰 프리미엄 감자전분 100%, 20kg, 1개",,61000,100,g,305,3.05,,로켓배송,121,https://www.coupang.com/vp/products/1910553042?itemId=3243834227&vendorItemId=71231015152,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/07/30/16/7/e9f816e9-c9a6-4a80-aa97-efeca430dc75.jpg
* 감자전분(물전분),4,2024-07-29 16:14:52,"칠갑농산 감자 전분, 500g, 1개",7550,6690,100,g,1338,13.38,11%,로켓배송,2223,https://www.coupang.com/vp/products/2632682?itemId=12166239&vendorItemId=3018557998,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/58526611913706-a2e5e6ff-1ec7-4085-9ab9-cdf18e4c83b2.jpg
* 감자전분(물전분),5,2024-07-29 16:14:52,"청은 감자전분, 1kg, 3개",19500,18600,100,g,620,6.2,4%,로켓배송,8687,https://www.coupang.com/vp/products/46179701?itemId=18037770127&vendorItemId=85192155639,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/50a088f5-479b-46c8-a0c6-e9b3fd20e5dc6575445574817138348.png
* 감자전분(물전분),6,2024-07-29 16:14:52,일본 토로미짱 물에 풀 필요 없는 감자전분 120g x 3개,,31700,100,g,8806,88.06,,,,https://www.coupang.com/vp/products/8078612657?itemId=22770608621&vendorItemId=89805720021,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2351/f116f6bacacd5e984f625a1e22de70313f097ec4823ffc1350b3cfd38731.jpg
* 감자전분(물전분),7,2024-07-29 16:14:52,"국내산 100% 감자전분, 1kg, 1개",,10900,100,g,1090,10.9,,,152,https://www.coupang.com/vp/products/2117644549?itemId=3595839645&vendorItemId=89045790665,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/29e4/af1482888d7b8ca4bff08914cec2e76198c3b599f99e882be50be05b3656.jpg
* 감자전분(물전분),8,2024-07-29 16:14:52,"아주존 혼합감자전분 500g, 20개",,34820,,,,,,,10,https://www.coupang.com/vp/products/8244613280?itemId=18109366244&vendorItemId=72783256461,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1875/25bf2d3e17942afb71539a0047b27b199847de0e6c64c6a74213db890fe7.jpg
* 감자전분(물전분),9,2024-07-29 16:14:52,"감자전분 20kg, 1개",,51500,100,g,258,2.58,,,1,https://www.coupang.com/vp/products/7186917337?itemId=18137047299&vendorItemId=87299676431,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2ea4/fc899c2c0b3dceafeb10d925349835e4b7d63ea21f28099ea0c42f973404.jpg
* 감자전분(물전분),10,2024-07-29 16:14:52,"청은 감자전분, 1kg, 6개",37500,35700,100,g,595,5.95,4%,로켓배송,8687,https://www.coupang.com/vp/products/46179701?itemId=18037785572&vendorItemId=85192170794,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/022d800a-899d-49e0-a088-7ef54d7757db9109262855008903318.png
