ingredient_name,time_stamp,product_title,price,unit,measure,unit_price,badage_rocket,url,image
* 감자전분(물전분),2024-08-01 20:05:26,"곰곰 감자전분, 1kg, 1개",4390,100,g,439,로켓배송,https://www.coupang.com/vp/products/7522733692?itemId=19733882650&vendorItemId=86837741791,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1852597268171107-c6ccc49f-9e60-40bc-8555-646c8c49e8b2.jpg
* 고추기름,2024-08-01 20:05:27,"오쉐프 고추맛기름, 13개, 15L",1890100,100,ml,969,,https://www.coupang.com/vp/products/7739315367?itemId=23326302214&vendorItemId=90358072247,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e7a8/5569a7cfa14657076b8819925433cc0ea3e02673699ef01502944ce9c750.png
* 굴소스,2024-08-01 20:05:28,"이금기 팬더 굴소스 파우치, 2kg, 6개",54600,100,g,455,로켓배송,https://www.coupang.com/vp/products/8135376713?itemId=23108714254&vendorItemId=90141977043,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5f26bb25-d6f5-4caa-95e5-2303bc3d0c35167290093199916655.png
* 다진마늘,2024-08-01 20:05:30,"농우 간편 뚝딱 다진마늘 (냉동), 1kg, 10팩",34750,10,g,35,로켓배송,https://www.coupang.com/vp/products/6012228407?itemId=19225414884&vendorItemId=86342063454,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/d09d7be3-ca4c-414f-bca0-9f05c16dfabf5132958662430446121.png
* 대파,2024-08-01 20:05:31,"하늘푸드 (10kg) 수입 대파 깐대파 손질대파 식자재, 1. (10kg/Box) 상품 신선대파, 1개",24000,100,g,240,,https://www.coupang.com/vp/products/7777089811?itemId=21011062691&vendorItemId=88074628457,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3479/e5ca22145ad0665ed3a47d075c23df0605aa6711482519f16b55b3a8628e.jpg
* 대파(흰대부분),2024-08-01 20:05:32,"하늘푸드 (10kg) 수입 대파 깐대파 손질대파 식자재, 1. (10kg/Box) 상품 신선대파, 1개",24000,100,g,240,,https://www.coupang.com/vp/products/7777089811?itemId=21011062691&vendorItemId=88074628457,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3479/e5ca22145ad0665ed3a47d075c23df0605aa6711482519f16b55b3a8628e.jpg
* 들기름,2024-08-01 20:05:33,"해표 참진한 들기름, 3.2L, 12개",1385820,10,ml,361,,https://www.coupang.com/vp/products/14048?itemId=23230142584&vendorItemId=90262608322,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d68c/1848063e1fa229af0a142a9dedd635c1a67e4992cfdbdbc1cb7083a1a5fb.png
* 마늘,2024-08-01 20:05:34,"남해섬 통흑마늘 1kg, 1개",44500,10,g,445,,https://www.coupang.com/vp/products/177449501?itemId=507466434&vendorItemId=4301087490,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/24c5/2e7e8e60685b0bd505c2f68431f03c5c09a4e2ef00e4a80cfeb12b99b2e5.jpg
* 맛술,2024-08-01 20:05:36,"오뚜기 미향, 18L, 1개",27410,10,ml,15,로켓배송,https://www.coupang.com/vp/products/739286?itemId=927892383&vendorItemId=70181061340,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/01/21/16/6/64ae3171-7692-4e02-be8b-7bf64d30f881.jpg
* 물,2024-08-01 20:05:37,"탐사수 무라벨, 2L, 30개",15290,100,ml,25,로켓배송,https://www.coupang.com/vp/products/5625704601?itemId=13430253618&vendorItemId=80771756696,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1299257297593781-973ae0d8-4990-405e-9301-cf36ef543da0.jpg
* 백설탕,2024-08-01 20:05:38,"큐원 하얀 설탕, 15kg, 1개",23800,100,g,159,로켓배송,https://www.coupang.com/vp/products/7038366494?itemId=17397481100&vendorItemId=84566939097,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1150455489522113-a56336d3-5f99-4469-8457-4aedb5e93eff.jpg
